,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
147,110,Cade Cunningham,PG,22,DET,59,59,33.5,8.3,18.5,.447,1.9,5.4,.349,6.4,13.1,.488,.498,3.7,4.3,.866,0.5,3.8,4.3,7.6,0.9,0.4,3.5,2.5,22.1,2024
148,111,Seth Curry,SG,33,TOT,44,4,14.0,1.8,4.6,.392,0.9,2.5,.352,1.0,2.2,.438,.485,0.6,0.7,.903,0.4,1.1,1.5,1.0,0.5,0.1,0.5,0.9,5.1,2024
149,111,Seth Curry,SG,33,DAL,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3,2024
150,111,Seth Curry,SG,33,CHO,8,1,19.9,3.3,7.4,.441,1.1,3.5,.321,2.1,3.9,.548,.517,1.4,1.5,.917,0.4,1.6,2.0,1.8,0.6,0.4,0.6,0.9,9.0,2024
151,112,Stephen Curry,PG,35,GSW,64,64,32.7,8.8,19.7,.448,4.9,12.1,.404,4.0,7.7,.518,.572,4.3,4.6,.923,0.5,3.9,4.5,4.9,0.8,0.3,2.9,1.6,26.8,2024
152,113,Dyson Daniels,PG,20,NOP,52,15,21.9,2.2,4.9,.438,0.6,2.1,.291,1.5,2.8,.548,.500,0.6,1.0,.640,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5,2024
153,114,Anthony Davis,C,30,LAL,67,67,35.6,9.4,16.9,.558,0.3,1.2,.280,9.1,15.6,.579,.568,5.4,6.7,.812,3.1,9.4,12.5,3.6,1.2,2.4,2.0,2.4,24.6,2024
154,115,Johnny Davis,SG,21,WAS,40,1,10.8,1.1,3.0,.353,0.2,0.7,.222,0.9,2.3,.391,.378,0.2,0.4,.600,0.4,1.0,1.4,0.5,0.3,0.2,0.2,1.0,2.5,2024
155,116,JD Davison,SG,21,BOS,6,0,1.8,0.3,0.5,.667,0.3,0.5,.667,0.0,0.0,,1.000,0.3,0.3,1.000,0.2,0.3,0.5,0.2,0.0,0.0,0.0,0.2,1.3,2024
156,117,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,2024
157,118,DeMar DeRozan,SF,34,CHI,69,69,37.6,7.9,16.5,.475,0.9,2.8,.333,6.9,13.7,.504,.504,6.6,7.6,.863,0.6,3.7,4.3,5.3,1.0,0.6,1.5,2.1,23.2,2024
158,119,Moussa Diabaté,C,22,LAC,11,0,5.8,0.9,1.7,.526,0.0,0.0,,0.9,1.7,.526,.526,0.8,1.3,.643,1.4,0.8,2.2,0.4,0.5,0.1,0.2,0.4,2.6,2024
159,120,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,2024
160,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
161,121,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2024
162,122,Gradey Dick,SG,20,TOR,50,9,19.3,2.7,6.4,.421,1.3,3.7,.366,1.4,2.8,.493,.525,0.6,0.7,.886,0.5,1.6,2.0,1.3,0.5,0.0,0.8,1.4,7.4,2024
163,123,Ousmane Dieng,PF,20,OKC,31,0,11.0,1.4,3.4,.413,0.6,2.2,.299,0.7,1.2,.622,.510,0.5,0.5,.875,0.3,1.3,1.6,1.1,0.2,0.1,0.5,0.6,3.9,2024
164,124,Spencer Dinwiddie,PG,30,TOT,65,50,29.0,3.5,9.0,.393,1.6,5.0,.328,1.9,4.0,.475,.485,2.2,2.8,.788,0.4,2.3,2.7,5.2,0.7,0.2,1.2,1.8,10.9,2024
165,124,Spencer Dinwiddie,PG,30,BRK,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,2024
166,124,Spencer Dinwiddie,PG,30,LAL,17,2,24.1,2.0,4.9,.405,1.1,2.8,.375,0.9,2.1,.444,.512,1.2,1.4,.833,0.1,1.1,1.1,2.8,0.4,0.4,0.9,1.8,6.2,2024
167,125,Donte DiVincenzo,SG,27,NYK,69,51,27.2,5.2,11.8,.437,3.2,8.2,.395,1.9,3.6,.532,.574,1.0,1.3,.747,0.8,2.7,3.5,2.6,1.3,0.4,1.3,2.1,14.5,2024
168,126,Luka Dončić,PG,24,DAL,61,61,37.4,11.6,23.8,.488,3.9,10.4,.376,7.7,13.4,.574,.570,7.0,8.9,.785,0.8,8.2,9.0,9.8,1.5,0.5,4.0,2.0,34.1,2024
169,127,Luguentz Dort,SF,24,OKC,68,68,28.3,3.6,8.2,.444,2.0,5.0,.404,1.6,3.3,.505,.565,1.5,1.8,.842,1.0,2.7,3.7,1.4,0.9,0.6,0.9,3.0,10.8,2024
170,128,Ayo Dosunmu,SG,24,CHI,69,30,28.5,4.6,9.3,.495,1.5,3.9,.397,3.1,5.4,.564,.577,1.1,1.3,.811,0.7,2.1,2.8,3.1,0.9,0.5,1.3,2.1,11.8,2024
171,129,Jeff Dowtin,PG,26,PHI,6,0,13.5,1.8,3.2,.579,1.2,2.3,.500,0.7,0.8,.800,.763,0.3,0.3,1.000,0.2,1.5,1.7,2.7,0.7,0.2,0.5,0.0,5.2,2024
172,130,Henri Drell,SF,23,CHI,1,0,3.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2024
173,131,Andre Drummond,C,30,CHI,71,10,17.0,3.3,6.0,.550,0.0,0.0,.000,3.3,6.0,.554,.550,1.6,2.7,.585,3.3,5.4,8.7,0.5,0.9,0.6,1.1,1.8,8.3,2024
174,132,Chris Duarte,SF,26,SAC,50,11,13.1,1.5,3.7,.403,0.8,2.2,.373,0.7,1.5,.447,.513,0.5,0.6,.774,0.5,1.5,2.0,0.8,0.5,0.1,0.4,1.5,4.3,2024
175,133,Kris Dunn,PG,29,UTA,62,32,18.6,2.2,4.7,.471,0.6,1.7,.385,1.5,3.0,.519,.540,0.3,0.4,.680,0.7,2.0,2.8,3.9,1.0,0.4,1.2,2.0,5.3,2024
176,134,Kevin Durant,PF,35,PHO,64,64,37.2,10.1,19.2,.526,2.2,5.3,.414,7.9,13.9,.568,.582,5.2,6.1,.856,0.5,6.1,6.6,5.3,0.9,1.3,3.3,1.8,27.5,2024
177,135,Jalen Duren,C,20,DET,54,53,29.7,5.8,9.3,.625,0.0,0.1,.000,5.8,9.2,.629,.625,2.2,2.9,.776,3.3,8.6,11.9,2.5,0.5,0.8,2.1,3.3,13.8,2024
178,136,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,2024
179,137,Anthony Edwards,SG,22,MIN,68,67,35.3,9.3,20.1,.465,2.5,6.7,.374,6.8,13.3,.510,.527,5.3,6.4,.831,0.6,4.9,5.5,5.2,1.3,0.6,3.1,1.8,26.4,2024
180,138,Kessler Edwards,SF,23,SAC,44,0,4.9,0.6,1.5,.422,0.3,0.9,.359,0.3,0.6,.520,.531,0.1,0.1,.667,0.2,0.7,0.8,0.3,0.2,0.1,0.0,0.5,1.6,2024
181,139,Keon Ellis,SG,24,SAC,45,9,14.6,1.5,3.3,.456,1.0,2.4,.391,0.5,0.8,.649,.602,0.3,0.5,.619,0.4,1.2,1.7,1.4,0.8,0.5,0.5,1.6,4.2,2024
182,140,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,2024
183,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
184,141,Drew Eubanks,C,26,PHO,65,4,15.6,2.2,3.5,.627,0.0,0.0,1.000,2.1,3.4,.622,.633,1.0,1.3,.767,1.3,2.9,4.2,0.8,0.4,0.9,0.9,1.5,5.4,2024
185,142,Tosan Evbuomwan,SF,22,TOT,11,2,18.0,2.0,4.3,.468,0.6,1.9,.333,1.4,2.4,.577,.543,0.8,1.3,.643,1.0,2.4,3.4,0.7,0.2,0.2,0.5,1.3,5.5,2024
186,142,Tosan Evbuomwan,SF,22,MEM,4,0,18.5,1.0,3.8,.267,0.5,2.0,.250,0.5,1.8,.286,.333,0.0,0.0,,2.0,1.5,3.5,1.5,0.0,0.3,0.3,1.3,2.5,2024
187,142,Tosan Evbuomwan,SF,22,DET,7,2,17.7,2.6,4.6,.563,0.7,1.9,.385,1.9,2.7,.684,.641,1.3,2.0,.643,0.4,2.9,3.3,0.3,0.3,0.1,0.7,1.3,7.1,2024
188,143,Dante Exum,PG,28,DAL,44,15,19.3,3.1,5.7,.550,0.9,1.8,.500,2.2,3.9,.573,.629,1.1,1.5,.766,0.5,2.1,2.6,2.8,0.5,0.1,0.9,1.5,8.3,2024
189,144,Bruno Fernando,C,25,ATL,33,1,13.2,2.1,3.7,.569,0.0,0.1,.000,2.1,3.6,.588,.569,1.1,1.7,.661,1.4,2.8,4.2,0.7,0.6,0.7,0.8,1.9,5.4,2024
190,145,Dorian Finney-Smith,PF,30,BRK,61,49,28.4,3.2,7.7,.419,1.8,5.1,.357,1.4,2.6,.541,.537,0.5,0.6,.737,1.6,3.0,4.7,1.6,0.8,0.6,0.8,2.3,8.7,2024
191,146,Adam Flagler,SG,24,OKC,1,0,6.0,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024
192,147,Malachi Flynn,PG,25,TOT,58,0,11.3,1.5,3.7,.400,0.7,2.1,.342,0.8,1.6,.474,.495,0.6,0.8,.750,0.3,1.2,1.5,1.6,0.4,0.1,0.7,0.9,4.2,2024
193,147,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,2024
194,147,Malachi Flynn,PG,25,NYK,14,0,4.3,0.6,1.6,.391,0.3,0.9,.308,0.4,0.7,.500,.478,0.6,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2,2024
195,147,Malachi Flynn,PG,25,DET,13,0,9.3,1.6,4.2,.382,0.7,2.1,.333,0.9,2.2,.429,.464,0.5,0.8,.636,0.3,1.0,1.3,1.2,0.5,0.0,0.5,0.5,4.5,2024
196,148,Simone Fontecchio,SF,28,TOT,66,43,24.9,3.8,8.3,.460,2.0,5.1,.401,1.8,3.2,.551,.582,0.8,1.0,.818,1.0,2.8,3.7,1.5,0.7,0.3,1.0,1.7,10.5,2024
197,148,Simone Fontecchio,SF,28,UTA,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9,2024
198,148,Simone Fontecchio,SF,28,DET,16,9,30.3,5.7,11.9,.479,2.7,6.3,.426,3.0,5.6,.539,.592,1.4,1.6,.846,0.8,3.6,4.4,1.8,0.9,0.3,1.1,1.8,15.4,2024
199,149,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,2024
200,150,Trent Forrest,SG,25,ATL,32,0,11.0,0.9,2.3,.378,0.1,0.3,.222,0.8,2.0,.400,.392,0.3,0.4,.786,0.3,1.0,1.3,2.5,0.3,0.1,0.5,0.8,2.2,2024
201,151,Evan Fournier,SG,31,TOT,22,0,17.0,2.3,6.6,.345,1.1,4.2,.272,1.1,2.4,.472,.431,0.9,1.0,.870,0.2,1.7,1.9,1.5,1.0,0.1,0.7,1.6,6.6,2024
202,151,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,2024
203,151,Evan Fournier,SG,31,DET,19,0,17.6,2.4,6.6,.368,1.2,4.1,.299,1.2,2.5,.479,.460,0.9,1.1,.857,0.2,1.7,1.9,1.6,0.9,0.2,0.8,1.7,7.0,2024
204,152,De'Aaron Fox,PG,26,SAC,62,62,35.7,9.8,20.9,.468,2.8,7.7,.363,7.0,13.2,.529,.535,4.3,6.0,.725,1.0,3.5,4.5,5.7,2.0,0.4,2.7,2.6,26.7,2024
205,153,Javon Freeman-Liberty,PG,24,TOR,11,1,13.4,1.3,3.5,.359,0.2,1.4,.133,1.1,2.2,.500,.385,1.3,1.4,.933,0.4,1.8,2.2,1.4,0.3,0.2,0.7,1.0,4.0,2024
206,154,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2024
207,155,Markelle Fultz,PG,25,ORL,33,15,21.5,3.5,7.5,.472,0.0,0.3,.091,3.5,7.2,.489,.474,0.5,0.8,.630,1.3,2.0,3.3,3.0,1.0,0.3,1.2,1.5,7.6,2024
208,156,Andrew Funk,SG,24,CHI,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
