,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
713,545,Grant Williams,PF,25,TOT,72,39,27.7,3.5,7.8,.447,1.6,4.5,.366,1.9,3.4,.554,.551,1.3,1.8,.752,1.1,3.0,4.2,2.1,0.6,0.5,1.4,2.9,10.0,2024
714,545,Grant Williams,PF,25,DAL,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,2024
715,545,Grant Williams,PF,25,CHO,25,6,30.1,4.8,9.9,.490,1.6,4.5,.348,3.3,5.4,.607,.569,2.2,3.0,.757,1.4,3.8,5.2,2.9,0.7,0.4,1.9,3.0,13.5,2024
716,546,Jalen Williams,PF,22,OKC,67,67,31.7,7.7,14.2,.540,1.5,3.5,.431,6.2,10.8,.576,.593,2.7,3.3,.813,0.6,3.4,4.0,4.6,1.1,0.6,1.8,2.6,19.5,2024
717,547,Jaylin Williams,C,21,OKC,63,1,12.9,1.3,3.2,.396,0.7,2.1,.354,0.5,1.1,.472,.510,0.5,0.6,.825,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,3.8,2024
718,548,Jeenathan Williams,SG,24,HOU,19,0,5.5,1.1,2.1,.500,0.1,0.2,.250,1.0,1.9,.528,.513,0.4,0.5,.700,0.5,0.4,0.9,0.4,0.2,0.0,0.1,0.5,2.5,2024
719,549,Kenrich Williams,PF,29,OKC,63,1,14.6,1.8,3.9,.462,0.8,2.0,.388,1.0,1.9,.542,.563,0.1,0.2,.417,0.9,2.1,3.0,1.2,0.6,0.1,0.3,1.4,4.5,2024
720,550,Malik Williams,C,25,TOR,1,1,31.0,0.0,7.0,.000,0.0,2.0,.000,0.0,5.0,.000,.000,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,2024
721,551,Mark Williams,C,22,CHO,19,19,26.7,5.2,7.9,.649,0.0,0.0,,5.2,7.9,.649,.649,2.4,3.4,.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,2024
722,552,Patrick Williams,PF,22,CHI,43,30,27.3,3.7,8.3,.443,1.4,3.4,.399,2.3,4.9,.474,.525,1.2,1.5,.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0,2024
723,553,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,2024
724,554,Vince Williams Jr.,SG,23,MEM,52,33,27.6,3.3,7.3,.446,1.5,4.0,.378,1.7,3.3,.529,.550,2.0,2.5,.800,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10.0,2024
725,555,Ziaire Williams,SF,22,MEM,51,15,20.4,2.9,7.4,.397,1.1,3.7,.307,1.8,3.7,.487,.474,1.2,1.5,.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,2024
726,556,Zion Williamson,PF,23,NOP,65,65,31.3,8.9,15.3,.581,0.1,0.2,.357,8.8,15.1,.584,.583,4.9,7.1,.694,1.7,4.0,5.8,5.0,1.0,0.6,2.7,2.3,22.8,2024
727,557,D.J. Wilson,PF,27,PHI,2,0,7.5,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,2024
728,558,Jalen Wilson,PF,23,BRK,38,2,13.9,1.6,3.7,.432,0.5,1.5,.339,1.1,2.2,.494,.500,0.8,0.9,.889,1.0,1.6,2.6,1.0,0.2,0.0,0.4,1.0,4.5,2024
729,559,Dylan Windler,SF,27,TOT,16,0,5.1,0.7,1.4,.478,0.6,1.3,.450,0.1,0.2,.667,.674,0.0,0.0,,0.1,0.8,0.8,0.6,0.1,0.0,0.1,0.3,1.9,2024
730,559,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,2024
731,559,Dylan Windler,SF,27,LAL,8,0,3.5,0.5,1.1,.444,0.5,1.0,.500,0.0,0.1,.000,.667,0.0,0.0,,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.3,1.5,2024
732,559,Dylan Windler,SF,27,ATL,5,0,9.4,1.2,2.4,.500,0.8,2.0,.400,0.4,0.4,1.000,.667,0.0,0.0,,0.2,1.6,1.8,0.4,0.4,0.0,0.2,0.4,3.2,2024
733,560,James Wiseman,C,22,DET,57,3,16.4,3.0,4.6,.642,0.0,0.0,.000,3.0,4.6,.646,.642,1.1,1.5,.701,1.7,3.4,5.1,0.8,0.2,0.6,1.0,2.3,7.0,2024
734,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
