,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
243,175,Jordan Goodwin,PG,25,MEM,12,328,11.6,.409,.362,.121,8.9,19.7,14.1,25.5,2.4,2.6,14.7,18.8,-0.4,0.5,0.1,.014,-2.4,0.9,-1.5,0.0,2024
244,176,Aaron Gordon,PF,28,DEN,70,2214,16.7,.604,.192,.372,9.2,15.2,12.3,14.8,1.2,1.7,11.2,18.1,4.1,2.3,6.4,.139,1.0,0.1,1.1,1.7,2024
245,177,Eric Gordon,SG,35,PHO,63,1787,10.9,.585,.640,.102,1.1,6.4,3.9,10.1,1.6,1.4,10.3,16.6,1.0,1.4,2.4,.064,-1.2,-0.7,-1.8,0.1,2024
246,178,Devonte' Graham,PG,28,SAS,17,161,11.5,.528,.760,.180,1.3,14.6,7.9,21.5,1.8,0.5,10.0,15.7,0.1,0.1,0.2,.069,-2.6,0.1,-2.5,0.0,2024
247,179,Jerami Grant,PF,29,POR,54,1830,15.3,.573,.325,.367,2.2,10.3,6.0,13.7,1.2,1.7,10.5,25.8,1.5,1.1,2.6,.068,0.9,-1.1,-0.2,0.8,2024
248,180,A.J. Green,SG,24,MIL,52,544,11.4,.623,.863,.093,1.9,10.5,6.3,7.3,0.6,0.6,5.0,15.8,0.8,0.3,1.1,.094,0.2,-1.8,-1.5,0.1,2024
249,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2024
250,181,Danny Green,SG,36,PHI,2,18,0.8,.000,.500,.000,0.0,12.9,6.3,6.5,2.8,0.0,0.0,4.8,0.0,0.0,0.0,-0.038,-7.4,0.7,-6.7,0.0,2024
251,182,Draymond Green,PF,33,GSW,51,1366,14.9,.588,.335,.205,6.0,24.6,15.3,28.8,1.8,2.9,24.3,15.7,1.4,1.9,3.3,.115,-0.4,3.0,2.6,1.6,2024
252,183,Jalen Green,SG,21,HOU,76,2414,15.1,.545,.447,.269,1.8,16.0,8.8,17.4,1.2,1.0,11.1,27.6,0.3,2.8,3.1,.061,0.6,-0.7,-0.1,1.2,2024
253,184,Javonte Green,SF,30,CHI,3,51,12.5,.682,.455,.000,6.6,18.4,12.4,5.3,2.0,4.0,21.4,12.1,0.0,0.1,0.1,.083,-0.9,1.0,0.1,0.0,2024
254,185,Jeff Green,PF,37,HOU,72,1200,11.0,.591,.418,.437,3.8,11.0,7.4,6.9,0.5,2.3,10.2,15.3,1.2,1.1,2.3,.092,-1.9,-0.3,-2.2,-0.1,2024
255,186,Josh Green,SG,23,DAL,54,1436,10.3,.604,.499,.155,3.0,10.6,6.8,11.2,1.5,0.6,13.1,13.1,1.2,1.1,2.3,.076,-2.0,-0.3,-2.3,-0.1,2024
256,187,AJ Griffin,SF,20,ATL,18,132,1.9,.403,.733,.044,1.7,10.7,6.0,3.8,0.4,0.7,11.6,16.5,-0.3,0.0,-0.3,-0.096,-5.4,-3.2,-8.6,-0.2,2024
257,188,Quentin Grimes,SG,23,TOT,51,1025,8.9,.516,.732,.137,1.7,9.8,5.7,8.7,1.7,0.6,7.5,15.8,0.3,1.0,1.3,.060,-2.6,0.4,-2.2,-0.1,2024
258,188,Quentin Grimes,SG,23,NYK,45,910,9.5,.543,.741,.119,1.8,9.6,5.7,7.8,1.7,0.3,6.5,15.3,0.7,0.9,1.5,.081,-2.0,0.5,-1.5,0.1,2024
259,188,Quentin Grimes,SG,23,DET,6,115,4.0,.342,.667,.262,1.0,11.0,5.9,15.7,2.1,3.0,13.0,19.9,-0.4,0.1,-0.3,-0.107,-7.8,-0.4,-8.1,-0.2,2024
260,189,Mouhamadou Gueye,PF,25,TOR,10,97,4.8,.333,.097,.258,12.8,9.7,11.3,5.3,1.0,13.5,25.8,20.6,-0.5,0.1,-0.3,-0.170,-10.8,-1.6,-12.4,-0.3,2024
261,190,Mouhamed Gueye,PF,21,ATL,2,4,-0.5,.000,1.000,.000,0.0,0.0,0.0,0.0,12.1,0.0,0.0,10.5,0.0,0.0,0.0,-0.110,-12.6,3.7,-8.9,0.0,2024
262,191,Rui Hachimura,PF,25,LAL,63,1668,14.9,.631,.339,.199,3.7,13.8,9.0,6.2,1.1,1.1,6.1,18.5,2.3,1.3,3.6,.104,-0.2,-0.9,-1.1,0.4,2024
263,192,Ashton Hagans,PG,24,POR,18,302,8.0,.503,.328,.254,4.7,12.1,8.2,22.8,1.6,2.7,28.0,14.7,-0.3,0.3,0.0,-0.001,-4.7,0.7,-4.0,-0.1,2024
264,193,Tyrese Haliburton,PG,23,IND,64,2063,23.5,.604,.505,.211,2.0,12.3,7.1,45.8,1.7,1.7,11.8,25.0,7.0,1.4,8.4,.194,7.5,-0.4,7.1,4.8,2024
265,194,R.J. Hampton,PG,22,MIA,8,76,0.9,.336,.571,.143,3.0,6.3,4.6,13.6,0.0,0.0,16.8,10.5,-0.1,0.0,-0.1,-0.042,-8.2,-1.4,-9.6,-0.1,2024
266,195,Tim Hardaway Jr.,SF,31,DAL,73,1996,12.4,.547,.610,.176,1.2,12.3,6.8,9.1,0.9,0.3,6.0,22.8,0.9,1.3,2.2,.053,-0.5,-2.1,-2.6,-0.3,2024
267,196,James Harden,PG,34,LAC,69,2401,18.5,.611,.591,.417,1.8,15.3,8.8,33.3,1.6,2.1,15.8,20.6,5.7,2.2,7.9,.158,3.8,0.3,4.0,3.7,2024
